,State,Year,Sector Name,Price (cents per kWh)
0,AK,2020,residential,22.57
1,AK,2019,residential,22.92
2,AK,2018,residential,21.94
3,AK,2017,residential,21.27
4,AK,2016,residential,20.3
5,AK,2015,residential,19.83
6,AK,2014,residential,19.14
7,AK,2013,residential,18.12
8,AK,2012,residential,17.88
9,AK,2011,residential,17.62
10,AK,2010,residential,16.26
11,AK,2009,residential,17.14
12,AK,2008,residential,16.56
13,AK,2007,residential,15.18
14,AK,2006,residential,14.83
15,AK,2005,residential,13.3
16,AK,2004,residential,12.44
17,AK,2003,residential,11.98
18,AK,2002,residential,12.05
19,AK,2001,residential,12.12
20,AL,2020,residential,12.57
21,AL,2019,residential,12.53
22,AL,2018,residential,12.18
23,AL,2017,residential,12.55
24,AL,2016,residential,11.99
25,AL,2015,residential,11.7
26,AL,2014,residential,11.48
27,AL,2013,residential,11.26
28,AL,2012,residential,11.4
29,AL,2011,residential,11.09
30,AL,2010,residential,10.67
31,AL,2009,residential,10.66
32,AL,2008,residential,10.4
33,AL,2007,residential,9.32
34,AL,2006,residential,8.75
35,AL,2005,residential,8.0
36,AL,2004,residential,7.62
37,AL,2003,residential,7.39
38,AL,2002,residential,7.12
39,AL,2001,residential,7.01
40,AR,2020,residential,10.41
41,AR,2019,residential,9.8
42,AR,2018,residential,9.81
43,AR,2017,residential,10.28
44,AR,2016,residential,9.92
45,AR,2015,residential,9.82
46,AR,2014,residential,9.51
47,AR,2013,residential,9.59
48,AR,2012,residential,9.3
49,AR,2011,residential,9.02
50,AR,2010,residential,8.86
51,AR,2009,residential,9.14
52,AR,2008,residential,9.27
53,AR,2007,residential,8.73
54,AR,2006,residential,8.85
55,AR,2005,residential,8.0
56,AR,2004,residential,7.36
57,AR,2003,residential,7.24
58,AR,2002,residential,7.25
59,AR,2001,residential,7.72
60,AZ,2020,residential,12.27
61,AZ,2019,residential,12.43
62,AZ,2018,residential,12.77
63,AZ,2017,residential,12.44
64,AZ,2016,residential,12.15
65,AZ,2015,residential,12.13
66,AZ,2014,residential,11.9
67,AZ,2013,residential,11.71
68,AZ,2012,residential,11.29
69,AZ,2011,residential,11.08
70,AZ,2010,residential,10.97
71,AZ,2009,residential,10.73
72,AZ,2008,residential,10.27
73,AZ,2007,residential,9.66
74,AZ,2006,residential,9.4
75,AZ,2005,residential,8.86
76,AZ,2004,residential,8.46
77,AZ,2003,residential,8.35
78,AZ,2002,residential,8.27
79,AZ,2001,residential,8.3
80,CA,2020,residential,20.45
81,CA,2019,residential,19.15
82,CA,2018,residential,18.84
83,CA,2017,residential,18.31
84,CA,2016,residential,17.39
85,CA,2015,residential,16.99
86,CA,2014,residential,16.25
87,CA,2013,residential,16.23
88,CA,2012,residential,15.34
89,CA,2011,residential,14.78
90,CA,2010,residential,14.75
91,CA,2009,residential,14.74
92,CA,2008,residential,13.81
93,CA,2007,residential,14.42
94,CA,2006,residential,14.33
95,CA,2005,residential,12.51
96,CA,2004,residential,12.2
97,CA,2003,residential,12.23
98,CA,2002,residential,12.64
99,CA,2001,residential,12.09
100,CO,2020,residential,12.36
101,CO,2019,residential,12.18
102,CO,2018,residential,12.15
103,CO,2017,residential,12.17
104,CO,2016,residential,12.07
105,CO,2015,residential,12.12
106,CO,2014,residential,12.18
107,CO,2013,residential,11.93
108,CO,2012,residential,11.46
109,CO,2011,residential,11.27
110,CO,2010,residential,11.04
111,CO,2009,residential,10.0
112,CO,2008,residential,10.13
113,CO,2007,residential,9.25
114,CO,2006,residential,9.02
115,CO,2005,residential,9.06
116,CO,2004,residential,8.42
117,CO,2003,residential,8.14
118,CO,2002,residential,7.37
119,CO,2001,residential,7.47
120,CT,2020,residential,22.71
121,CT,2019,residential,21.87
122,CT,2018,residential,21.2
123,CT,2017,residential,20.29
124,CT,2016,residential,20.01
125,CT,2015,residential,20.94
126,CT,2014,residential,19.75
127,CT,2013,residential,17.55
128,CT,2012,residential,17.34
129,CT,2011,residential,18.11
130,CT,2010,residential,19.25
131,CT,2009,residential,20.33
132,CT,2008,residential,19.54
133,CT,2007,residential,19.11
134,CT,2006,residential,16.86
135,CT,2005,residential,13.64
136,CT,2004,residential,11.63
137,CT,2003,residential,11.31
138,CT,2002,residential,10.96
139,CT,2001,residential,10.9
140,DC,2020,residential,12.63
141,DC,2019,residential,12.98
142,DC,2018,residential,12.84
143,DC,2017,residential,12.94
144,DC,2016,residential,12.29
145,DC,2015,residential,12.99
146,DC,2014,residential,12.74
147,DC,2013,residential,12.57
148,DC,2012,residential,12.28
149,DC,2011,residential,13.4
150,DC,2010,residential,14.01
151,DC,2009,residential,13.73
152,DC,2008,residential,12.78
153,DC,2007,residential,11.18
154,DC,2006,residential,9.88
155,DC,2005,residential,9.1
156,DC,2004,residential,8.0
157,DC,2003,residential,7.84
158,DC,2002,residential,7.98
159,DC,2001,residential,7.79
160,DE,2020,residential,12.56
161,DE,2019,residential,12.55
162,DE,2018,residential,12.53
163,DE,2017,residential,13.35
164,DE,2016,residential,13.42
165,DE,2015,residential,13.42
166,DE,2014,residential,13.29
167,DE,2013,residential,12.95
168,DE,2012,residential,13.58
169,DE,2011,residential,13.7
170,DE,2010,residential,13.8
171,DE,2009,residential,14.07
172,DE,2008,residential,13.93
173,DE,2007,residential,13.16
174,DE,2006,residential,11.85
175,DE,2005,residential,9.01
176,DE,2004,residential,8.78
177,DE,2003,residential,8.59
178,DE,2002,residential,8.7
179,DE,2001,residential,8.61
180,FL,2020,residential,11.27
181,FL,2019,residential,11.7
182,FL,2018,residential,11.54
183,FL,2017,residential,11.61
184,FL,2016,residential,10.98
185,FL,2015,residential,11.58
186,FL,2014,residential,11.89
187,FL,2013,residential,11.27
188,FL,2012,residential,11.42
189,FL,2011,residential,11.51
190,FL,2010,residential,11.44
191,FL,2009,residential,12.39
192,FL,2008,residential,11.65
193,FL,2007,residential,11.22
194,FL,2006,residential,11.33
195,FL,2005,residential,9.62
196,FL,2004,residential,8.99
197,FL,2003,residential,8.55
198,FL,2002,residential,8.16
199,FL,2001,residential,8.59
200,GA,2020,residential,12.02
201,GA,2019,residential,11.76
202,GA,2018,residential,11.47
203,GA,2017,residential,11.9
204,GA,2016,residential,11.5
205,GA,2015,residential,11.54
206,GA,2014,residential,11.65
207,GA,2013,residential,11.46
208,GA,2012,residential,11.17
209,GA,2011,residential,11.05
210,GA,2010,residential,10.07
211,GA,2009,residential,10.13
212,GA,2008,residential,9.93
213,GA,2007,residential,9.1
214,GA,2006,residential,8.91
215,GA,2005,residential,8.64
216,GA,2004,residential,7.86
217,GA,2003,residential,7.7
218,GA,2002,residential,7.63
219,GA,2001,residential,7.72
220,HI,2020,residential,30.28
221,HI,2019,residential,32.06
222,HI,2018,residential,32.47
223,HI,2017,residential,29.5
224,HI,2016,residential,27.47
225,HI,2015,residential,29.6
226,HI,2014,residential,37.04
227,HI,2013,residential,36.98
228,HI,2012,residential,37.34
229,HI,2011,residential,34.68
230,HI,2010,residential,28.1
231,HI,2009,residential,24.2
232,HI,2008,residential,32.5
233,HI,2007,residential,24.12
234,HI,2006,residential,23.35
235,HI,2005,residential,20.7
236,HI,2004,residential,18.06
237,HI,2003,residential,16.73
238,HI,2002,residential,15.63
239,HI,2001,residential,16.34
240,IA,2020,residential,12.46
241,IA,2019,residential,12.46
242,IA,2018,residential,12.24
243,IA,2017,residential,12.34
244,IA,2016,residential,11.94
245,IA,2015,residential,11.63
246,IA,2014,residential,11.16
247,IA,2013,residential,11.04
248,IA,2012,residential,10.82
249,IA,2011,residential,10.46
250,IA,2010,residential,10.42
251,IA,2009,residential,9.99
252,IA,2008,residential,9.49
253,IA,2007,residential,9.45
254,IA,2006,residential,9.63
255,IA,2005,residential,9.27
256,IA,2004,residential,8.96
257,IA,2003,residential,8.57
258,IA,2002,residential,8.35
259,IA,2001,residential,8.41
260,ID,2020,residential,9.95
261,ID,2019,residential,9.89
262,ID,2018,residential,10.15
263,ID,2017,residential,10.04
264,ID,2016,residential,9.95
265,ID,2015,residential,9.93
266,ID,2014,residential,9.72
267,ID,2013,residential,9.32
268,ID,2012,residential,8.67
269,ID,2011,residential,7.87
270,ID,2010,residential,7.99
271,ID,2009,residential,7.8
272,ID,2008,residential,6.99
273,ID,2007,residential,6.36
274,ID,2006,residential,6.21
275,ID,2005,residential,6.29
276,ID,2004,residential,6.1
277,ID,2003,residential,6.24
278,ID,2002,residential,6.59
279,ID,2001,residential,6.01
280,IL,2020,residential,13.04
281,IL,2019,residential,13.03
282,IL,2018,residential,12.77
283,IL,2017,residential,12.95
284,IL,2016,residential,12.54
285,IL,2015,residential,12.5
286,IL,2014,residential,11.91
287,IL,2013,residential,10.63
288,IL,2012,residential,11.37
289,IL,2011,residential,11.78
290,IL,2010,residential,11.52
291,IL,2009,residential,11.27
292,IL,2008,residential,11.07
293,IL,2007,residential,10.12
294,IL,2006,residential,8.42
295,IL,2005,residential,8.34
296,IL,2004,residential,8.37
297,IL,2003,residential,8.38
298,IL,2002,residential,8.39
299,IL,2001,residential,8.71
300,IN,2020,residential,12.83
301,IN,2019,residential,12.58
302,IN,2018,residential,12.26
303,IN,2017,residential,12.29
304,IN,2016,residential,11.79
305,IN,2015,residential,11.57
306,IN,2014,residential,11.46
307,IN,2013,residential,10.99
308,IN,2012,residential,10.53
309,IN,2011,residential,10.06
310,IN,2010,residential,9.56
311,IN,2009,residential,9.5
312,IN,2008,residential,8.87
313,IN,2007,residential,8.26
314,IN,2006,residential,8.22
315,IN,2005,residential,7.5
316,IN,2004,residential,7.3
317,IN,2003,residential,7.04
318,IN,2002,residential,6.91
319,IN,2001,residential,6.92
320,KS,2020,residential,12.85
321,KS,2019,residential,12.71
322,KS,2018,residential,13.35
323,KS,2017,residential,13.31
324,KS,2016,residential,13.06
325,KS,2015,residential,12.34
326,KS,2014,residential,12.17
327,KS,2013,residential,11.64
328,KS,2012,residential,11.24
329,KS,2011,residential,10.65
330,KS,2010,residential,10.03
331,KS,2009,residential,9.53
332,KS,2008,residential,8.89
333,KS,2007,residential,8.19
334,KS,2006,residential,8.25
335,KS,2005,residential,7.9
336,KS,2004,residential,7.74
337,KS,2003,residential,7.71
338,KS,2002,residential,7.67
339,KS,2001,residential,7.66
340,KY,2020,residential,10.87
341,KY,2019,residential,10.8
342,KY,2018,residential,10.6
343,KY,2017,residential,10.85
344,KY,2016,residential,10.49
345,KY,2015,residential,10.24
346,KY,2014,residential,10.16
347,KY,2013,residential,9.79
348,KY,2012,residential,9.43
349,KY,2011,residential,9.2
350,KY,2010,residential,8.57
351,KY,2009,residential,8.37
352,KY,2008,residential,7.94
353,KY,2007,residential,7.34
354,KY,2006,residential,7.02
355,KY,2005,residential,6.57
356,KY,2004,residential,6.11
357,KY,2003,residential,5.81
358,KY,2002,residential,5.65
359,KY,2001,residential,5.58
360,LA,2020,residential,9.67
361,LA,2019,residential,9.8
362,LA,2018,residential,9.59
363,LA,2017,residential,9.74
364,LA,2016,residential,9.34
365,LA,2015,residential,9.33
366,LA,2014,residential,9.57
367,LA,2013,residential,9.43
368,LA,2012,residential,8.37
369,LA,2011,residential,8.96
370,LA,2010,residential,8.98
371,LA,2009,residential,8.1
372,LA,2008,residential,10.28
373,LA,2007,residential,9.37
374,LA,2006,residential,9.14
375,LA,2005,residential,8.87
376,LA,2004,residential,8.05
377,LA,2003,residential,7.84
378,LA,2002,residential,7.1
379,LA,2001,residential,7.92
380,MA,2020,residential,21.97
381,MA,2019,residential,21.92
382,MA,2018,residential,21.61
383,MA,2017,residential,20.06
384,MA,2016,residential,19.0
385,MA,2015,residential,19.83
386,MA,2014,residential,17.39
387,MA,2013,residential,15.83
388,MA,2012,residential,14.91
389,MA,2011,residential,14.67
390,MA,2010,residential,14.59
391,MA,2009,residential,16.87
392,MA,2008,residential,17.56
393,MA,2007,residential,16.23
394,MA,2006,residential,16.6
395,MA,2005,residential,13.44
396,MA,2004,residential,11.75
397,MA,2003,residential,11.6
398,MA,2002,residential,10.93
399,MA,2001,residential,12.47
400,MD,2020,residential,13.01
401,MD,2019,residential,13.12
402,MD,2018,residential,13.3
403,MD,2017,residential,13.96
404,MD,2016,residential,14.23
405,MD,2015,residential,13.82
406,MD,2014,residential,13.63
407,MD,2013,residential,13.25
408,MD,2012,residential,12.84
409,MD,2011,residential,13.31
410,MD,2010,residential,14.32
411,MD,2009,residential,14.98
412,MD,2008,residential,13.84
413,MD,2007,residential,11.89
414,MD,2006,residential,9.71
415,MD,2005,residential,8.46
416,MD,2004,residential,7.8
417,MD,2003,residential,7.73
418,MD,2002,residential,7.74
419,MD,2001,residential,7.67
420,ME,2020,residential,16.81
421,ME,2019,residential,17.89
422,ME,2018,residential,16.84
423,ME,2017,residential,15.97
424,ME,2016,residential,15.83
425,ME,2015,residential,15.61
426,ME,2014,residential,15.27
427,ME,2013,residential,14.35
428,ME,2012,residential,14.66
429,ME,2011,residential,15.38
430,ME,2010,residential,15.72
431,ME,2009,residential,15.64
432,ME,2008,residential,16.24
433,ME,2007,residential,16.52
434,ME,2006,residential,13.8
435,ME,2005,residential,13.23
436,ME,2004,residential,12.16
437,ME,2003,residential,12.37
438,ME,2002,residential,12.74
439,ME,2001,residential,13.13
440,MI,2020,residential,16.26
441,MI,2019,residential,15.74
442,MI,2018,residential,15.45
443,MI,2017,residential,15.4
444,MI,2016,residential,15.22
445,MI,2015,residential,14.42
446,MI,2014,residential,14.46
447,MI,2013,residential,14.59
448,MI,2012,residential,14.13
449,MI,2011,residential,13.27
450,MI,2010,residential,12.46
451,MI,2009,residential,11.6
452,MI,2008,residential,10.75
453,MI,2007,residential,10.21
454,MI,2006,residential,9.77
455,MI,2005,residential,8.4
456,MI,2004,residential,8.33
457,MI,2003,residential,8.35
458,MI,2002,residential,8.28
459,MI,2001,residential,8.26
460,MN,2020,residential,13.17
461,MN,2019,residential,13.04
462,MN,2018,residential,13.14
463,MN,2017,residential,13.04
464,MN,2016,residential,12.67
465,MN,2015,residential,12.12
466,MN,2014,residential,12.01
467,MN,2013,residential,11.81
468,MN,2012,residential,11.35
469,MN,2011,residential,10.96
470,MN,2010,residential,10.59
471,MN,2009,residential,10.04
472,MN,2008,residential,9.74
473,MN,2007,residential,9.18
474,MN,2006,residential,8.7
475,MN,2005,residential,8.28
476,MN,2004,residential,7.92
477,MN,2003,residential,7.65
478,MN,2002,residential,7.49
479,MN,2001,residential,7.61
480,MO,2020,residential,11.22
481,MO,2019,residential,11.14
482,MO,2018,residential,11.34
483,MO,2017,residential,11.63
484,MO,2016,residential,11.21
485,MO,2015,residential,11.21
486,MO,2014,residential,10.64
487,MO,2013,residential,10.6
488,MO,2012,residential,10.17
489,MO,2011,residential,9.75
490,MO,2010,residential,9.08
491,MO,2009,residential,8.54
492,MO,2008,residential,8.0
493,MO,2007,residential,7.69
494,MO,2006,residential,7.44
495,MO,2005,residential,7.08
496,MO,2004,residential,6.97
497,MO,2003,residential,6.96
498,MO,2002,residential,7.06
499,MO,2001,residential,7.0
500,MS,2020,residential,11.17
501,MS,2019,residential,11.27
502,MS,2018,residential,11.12
503,MS,2017,residential,11.08
504,MS,2016,residential,10.47
505,MS,2015,residential,11.27
506,MS,2014,residential,11.32
507,MS,2013,residential,10.78
508,MS,2012,residential,10.26
509,MS,2011,residential,10.17
510,MS,2010,residential,9.87
